latitude,longitude,depth_m
18.54609868,73.95567107,1.76262844
18.5460992,73.95576581,1.76262844
18.54609972,73.95586056,1.76262844
18.54611385,73.9584186,1.862414352
18.54611437,73.95851334,1.845637661
18.54611489,73.95860808,1.845118738
18.54611542,73.95870282,1.852460803
18.54611594,73.95879757,1.855563669
18.54611646,73.95889231,1.841720067
18.54611698,73.95898705,1.813776101
18.54612012,73.9595555,1.804754652
18.54612064,73.95965025,1.806482412
18.54612116,73.95974499,1.800060437
18.54612168,73.95983973,1.774448673
18.5461222,73.95993447,1.752002843
18.54612273,73.96002922,1.738321901
18.54612325,73.96012396,1.76262844
18.54612377,73.9602187,1.76262844
18.54612429,73.96031344,1.76262844
18.54612481,73.96040819,1.76262844
18.54612533,73.96050293,1.76262844
18.54612586,73.96059767,1.76262844
18.54612638,73.96069241,1.76262844
18.5461269,73.96078715,1.76262844
18.54612742,73.9608819,1.76262844
18.54612794,73.96097664,1.76262844
18.54612846,73.96107138,1.76262844
18.54612898,73.96116612,1.75119493
18.54612951,73.96126087,1.750416933
18.54598784,73.95197668,1.953019936
18.54598836,73.95207142,1.901860189
18.54598889,73.95216616,1.847819074
18.54598942,73.95226091,1.774701765
18.54598994,73.95235565,1.753938997
18.54599047,73.95245039,1.759548886
18.54599099,73.95254513,1.765037787
18.54599152,73.95263988,1.731605471
18.54599204,73.95273462,1.750878864
18.54599362,73.95301884,1.816516871
18.54599415,73.95311359,1.797702179
18.54599467,73.95320833,1.778002244
18.5459952,73.95330307,1.755984272
18.54599572,73.95339781,1.73219858
18.54599625,73.95349255,1.731470096
18.54599677,73.9535873,1.741173254
18.5459973,73.95368204,1.726150235
18.54599782,73.95377678,1.718711945
18.54599835,73.95387152,1.704348997
18.54599887,73.95396626,1.699896564
18.5459994,73.95406101,1.718797177
18.54599992,73.95415575,1.724241142
18.54600044,73.95425049,1.728089867
18.54600097,73.95434523,1.731265924
18.54600149,73.95443997,1.76262844
18.54600202,73.95453472,1.76262844
18.54600254,73.95462946,1.76262844
18.54600307,73.9547242,1.754253009
18.54600359,73.95481894,1.76262844
18.54600412,73.95491368,1.76262844
18.54600464,73.95500843,1.76262844
18.54603079,73.95974554,1.814832225
18.54603132,73.95984028,1.809688817
18.54603184,73.95993502,1.784144554
18.54603236,73.96002976,1.759363076
18.54603288,73.96012451,1.736704211
18.54603445,73.96040873,1.76262844
18.54603497,73.96050347,1.76262844
18.54603549,73.96059822,1.76262844
18.54603601,73.96069296,1.76262844
18.54603653,73.9607877,1.76262844
18.54603705,73.96088244,1.769823092
18.54603758,73.96097719,1.76262844
18.5460381,73.96107193,1.753833433
18.54603862,73.96116667,1.75136417
18.54603914,73.96126141,1.746348398
18.54603966,73.96135616,1.755892291
18.54589747,73.95197723,1.965897371
18.545898,73.95207197,1.938909815
18.54589852,73.95216672,1.900324456
18.54589905,73.95226146,1.851609388
18.54589958,73.9523562,1.808415979
18.5459001,73.95245094,1.807698722
18.54590063,73.95254568,1.803588706
18.54590115,73.95264043,1.761379224
18.54590378,73.95311414,1.785539368
18.5459043,73.95320888,1.731688086
18.54590483,73.95330362,1.738064208
18.54590535,73.95339836,1.722999025
18.54590588,73.9534931,1.727847199
18.5459064,73.95358785,1.732750208
18.54590693,73.95368259,1.734419392
18.54590745,73.95377733,1.724167138
18.54590798,73.95387207,1.71408118
18.5459085,73.95396681,1.715088199
18.54590903,73.95406156,1.714617948
18.54590955,73.9541563,1.734867209
18.54591008,73.95425104,1.739486359
18.5459106,73.95434578,1.76262844
18.54591113,73.95444052,1.76262844
18.54591165,73.95453527,1.76262844
18.54591218,73.95463001,1.76262844
18.5459127,73.95472475,1.76262844
18.54591323,73.95481949,1.76262844
18.54591375,73.95491423,1.76262844
18.54594095,73.95984083,1.816666988
18.54594147,73.95993557,1.812857502
18.54594199,73.96003031,1.794953354
18.54594356,73.96031454,1.745936823
18.54594408,73.96040928,1.764478908
18.5459446,73.96050402,1.763308176
18.54594512,73.96059876,1.761863883
