vertex_id,longitude,latitude,altitude
156,73.9075987157326,18.5415453431065,0.0
157,73.9061694130236,18.5418801380103,0.0
158,73.9053347894953,18.5419779556025,0.0
159,73.9032587680167,18.5420074547128,0.0
160,73.9010781448286,18.542222063486,0.0
161,73.8975051153579,18.5429139742882,0.0
162,73.8952953242499,18.5433747146357,0.0
163,73.8924135467059,18.5441822779056,0.0
164,73.8904737401361,18.5445195304619,0.0
165,73.8881855918336,18.5444254992439,0.0
166,73.8861755201563,18.5443518018632,0.0
167,73.8845952010039,18.544174507568,0.0
168,73.8828240428926,18.5438832300603,0.0
169,73.8814060147894,18.5436850056015,0.0
170,73.8790081007013,18.5432027467251,0.0
171,73.8760607221838,18.5424207810959,0.0
172,73.8732489063665,18.541397350297,0.0
173,73.8707268133423,18.5404517897668,0.0
174,73.8694362669553,18.5399633098056,0.0
175,73.8683136049699,18.5396614894981,0.0
176,73.8667023090918,18.5390512218819,0.0
177,73.8654829920913,18.5382638853997,0.0
178,73.864681791822,18.5377268384458,0.0
179,73.8637584665822,18.5369641601316,0.0
180,73.8630323480596,18.5359455971684,0.0
181,73.8625390427909,18.5349468748516,0.0
182,73.8615475764828,18.5329732154886,0.0
183,73.8603578454736,18.5322404675688,0.0
184,73.8590691844687,18.5318162311908,0.0
185,73.8584435272098,18.5317734961029,0.0
186,73.8577073145108,18.5319443667409,0.0
187,73.8568189873327,18.5324197039375,0.0
188,73.8559822827582,18.5333472001042,0.0
189,73.8549651618154,18.5328708552545,0.0
190,73.8553149128707,18.5320337137706,0.0
